Building,Room,Date/Time
Spelman,054,4/10/19 10:04 AM
Spelman,023,4/10/19 10:08 AM
Spelman,086,4/10/19 10:09 AM
Spelman,052,4/10/19 10:14 AM
Spelman,085,4/10/19 10:14 AM
Spelman,043,4/10/19 10:16 AM
Spelman,053,4/10/19 10:17 AM
Spelman,038,4/10/19 10:19 AM
Spelman,026,4/10/19 10:22 AM
Spelman,063,4/10/19 10:22 AM
Spelman,037,4/10/19 10:23 AM
Spelman,041,4/10/19 10:26 AM
Spelman,046,4/10/19 10:27 AM
Spelman,024,4/10/19 10:29 AM
Spelman,056,4/10/19 10:33 AM
Spelman,076,4/10/19 10:33 AM
Spelman,064,4/10/19 10:40 AM
Spelman,025,4/10/19 10:42 AM
Spelman,082,4/10/19 10:45 AM
Spelman,045,4/10/19 10:48 AM
Spelman,083,4/10/19 10:49 AM
Spelman,065,4/10/19 10:50 AM
Spelman,017,4/10/19 10:58 AM
Spelman,061,4/10/19 10:58 AM
Spelman,066,4/10/19 11:08 AM
Spelman,047,4/10/19 11:09 AM
Spelman,015,4/10/19 11:11 AM
Spelman,084,4/10/19 11:15 AM
Spelman,075,4/10/19 11:16 AM
Spelman,073,4/10/19 11:20 AM
Spelman,034,4/10/19 11:20 AM
Spelman,067,4/10/19 11:23 AM
Spelman,074,4/10/19 11:24 AM
Spelman,016,4/10/19 11:26 AM
Spelman,021,4/10/19 11:27 AM
Spelman,022,4/10/19 11:28 AM
Spelman,036,4/10/19 11:28 AM
Spelman,014,4/10/19 11:36 AM
Spelman,051,4/10/19 11:40 AM
Spelman,018,4/10/19 11:43 AM
Spelman,068,4/10/19 11:47 AM
Spelman,055,4/10/19 11:51 AM
Spelman,013,4/10/19 11:51 AM
Spelman,071,4/10/19 11:55 AM
Spelman,078,4/10/19 11:56 AM
Spelman,048,4/10/19 11:57 AM
Spelman,032,4/10/19 11:59 AM
Spelman,077,4/10/19 12:00 PM
Spelman,011,4/10/19 12:06 PM
Spelman,081,4/10/19 12:06 PM
Spelman,035,4/10/19 12:10 PM
Spelman,012,4/10/19 12:11 PM
Wilf,E401,4/10/19 12:19 PM
Wilf,E403,4/10/19 12:21 PM
Scully,267,4/10/19 12:22 PM
Scully,273,4/10/19 12:22 PM
Scully,271,4/10/19 12:22 PM
Scully,265,4/10/19 12:22 PM
Scully,264,4/10/19 12:37 PM
1903,133,4/10/19 12:52 PM
Lockhart,224,4/10/19 1:06 PM
Scully,266,4/10/19 1:22 PM
Lockhart,322,4/10/19 1:36 PM
Henry,101,4/10/19 1:44 PM
1903,214,4/10/19 1:59 PM
1903,212,4/10/19 2:18 PM
1903,112,4/10/19 2:18 PM
Patton,080,4/10/19 2:25 PM
1903,215,4/10/19 2:43 PM
1903,113,4/10/19 2:43 PM
Lockhart,241,4/10/19 2:48 PM
Scully,171,4/10/19 3:06 PM
Dod,115,4/10/19 3:13 PM
Scully,262,4/10/19 3:32 PM
Scully,168,4/10/19 3:39 PM
Patton,086,4/10/19 3:56 PM
1903,121,4/10/19 4:00 PM
Scully,173,4/10/19 4:07 PM
Henry,115,4/10/19 4:17 PM
Little,A34,4/10/19 4:30 PM
Dod,200N,4/10/19 4:32 PM
Scully,162,4/10/19 4:33 PM
1903,211,4/10/19 4:36 PM
Lockhart,212,4/10/19 4:36 PM
Lockhart,302,4/10/19 4:37 PM
Little,A36,4/10/19 4:43 PM
Dod,210,4/10/19 9:19 PM
Dod,111,4/11/19 10:18 AM
Patton,T02,4/11/19 10:31 AM
1903,136,4/11/19 10:31 AM
