Building,Room,Type,Size,Affiliation,Theme
1901,101,TRIPLE,444,Upperclass,
1901,102,DOUBLE,335,Upperclass,
1901,103,SINGLE,155,Upperclass,
1901,104,TRIPLE,404,Upperclass,
1901,105,SINGLE,142,Upperclass,
1901,111,SINGLE,122,Upperclass,
1901,112,DOUBLE,402,Upperclass,
1901,113,SINGLE,194,Upperclass,
1901,114,SINGLE,191,Upperclass,
1901,115,DOUBLE,380,Upperclass,
1901,116,SINGLE,183,Upperclass,
1901,117,DOUBLE,370,Upperclass,
1901,118,TRIPLE,427,Upperclass,
1901,119,DOUBLE,337,Upperclass,
1901,121,SINGLE,122,Upperclass,
1901,122,QUAD,503,Upperclass,
1901,123,QUAD,502,Upperclass,
1901,124,DOUBLE,336,Upperclass,
1901,125,QUAD,498,Upperclass,
1901,126,SINGLE,167,Upperclass,
1901,131,QUAD,482,Upperclass,
1901,132,SINGLE,219,Upperclass,
1901,133,TRIPLE,415,Upperclass,
1901,141,QUAD,799,Upperclass,
1901,201,SINGLE,173,Upperclass,
1901,202,DOUBLE,375,Upperclass,
1901,203,DOUBLE,345,Upperclass,
1901,212,TRIPLE,378,Upperclass,
1901,213,SINGLE,144,Upperclass,
1901,214,SINGLE,153,Upperclass,
1901,215,DOUBLE,349,Upperclass,
1901,221,DOUBLE,331,Upperclass,
1901,222,SINGLE,87,Upperclass,
1901,222A,SINGLE,92,Upperclass,
1901,223,SINGLE,157,Upperclass,
1901,223A,SINGLE,129,Upperclass,
1901,224,SINGLE,148,Upperclass,
1901,225,SINGLE,145,Upperclass,
1901,226,SINGLE,139,Upperclass,
1901,232,SINGLE,139,Upperclass,
1901,233,SINGLE,174,Upperclass,
1901,234,SINGLE,156,Upperclass,
1901,235,SINGLE,176,Upperclass,
1901,311,DOUBLE,363,Upperclass,
1901,312,DOUBLE,355,Upperclass,
1901,313,DOUBLE,364,Upperclass,
1901,314,SINGLE,185,Upperclass,
1901,321,SINGLE,128,Upperclass,
1901,322,DOUBLE,296,Upperclass,
1901,323,SINGLE,190,Upperclass,
1901,324,DOUBLE,246,Upperclass,
1901,325,SINGLE,160,Upperclass,
1901,331,QUAD,686,Upperclass,
1901,332,SINGLE,119,Upperclass,
1901,333,SINGLE,144,Upperclass,
1901,334,SINGLE,142,Upperclass,
1901,335,SINGLE,158,Upperclass,
1901,401,SINGLE,154,Upperclass,
1901,402,SINGLE,186,Upperclass,
1901,403,TRIPLE,414,Upperclass,
1901,404,SINGLE,190,Upperclass,
1901,405,SINGLE,196,Upperclass,
1901,411,TRIPLE,839,Upperclass,
1901,413,TRIPLE,459,Upperclass,
1901,421,DOUBLE,351,Upperclass,
1901,431,DOUBLE,330,Upperclass,
1901,441,DOUBLE,372,Upperclass,
1903,111,SINGLE,170,Upperclass,Independent
1903,112,SINGLE,204,Upperclass,Independent
1903,114,SINGLE,162,Upperclass,
1903,121,SINGLE,173,Upperclass,Independent
1903,123,QUAD,503,Upperclass,Independent
1903,124,SINGLE,174,Upperclass,
1903,125,SINGLE,179,Upperclass,
1903,126,SINGLE,165,Upperclass,Independent
1903,131,SINGLE,184,Upperclass,Independent
